year,Quarter,USDIDR,GDP,Inflation,Unemployment,Consumption,InterestRate
2008,1,9246.135411658654,510228634992.255,10.2266645473148,7.209,69.0450336481514,-3.85224502633397
2008,2,9253.56025235615,510228634992.255,10.2266645473148,7.209,69.0450336481514,-3.85224502633397
2008,3,9259.227091471354,510228634992.255,10.2266645473148,7.209,69.0450336481514,-3.85224502633397
2008,4,10942.707593513258,510228634992.255,10.2266645473148,7.209,69.0450336481514,-3.85224502633397
2009,1,11583.3125,539580085612.401,4.38641555014731,6.106,68.2919344557649,5.74795209578364
2009,2,10524.376923076923,539580085612.401,4.38641555014731,6.106,68.2919344557649,5.74795209578364
2009,3,9953.194705847538,539580085612.401,4.38641555014731,6.106,68.2919344557649,5.74795209578364
2009,4,9470.846220999054,539580085612.401,4.38641555014731,6.106,68.2919344557649,5.74795209578364
2010,1,9245.971908569336,755094157594.524,5.13420400767928,5.614,65.2230907903385,-1.74609753559597
2010,2,9122.721544471155,755094157594.524,5.13420400767928,5.614,65.2230907903385,-1.74609753559597
2010,3,8970.585597182766,755094157594.524,5.13420400767928,5.614,65.2230907903385,-1.74609753559597
2010,4,8812.842619924835,755094157594.524,5.13420400767928,5.614,65.2230907903385,-1.74609753559597
2011,1,8861.05239868164,892969104529.572,5.3560477898215,5.153,64.4820337243765,4.59437674883754
2011,2,8574.783660888672,892969104529.572,5.3560477898215,5.153,64.4820337243765,4.59437674883754
2011,3,8565.022031841856,892969104529.572,5.3560477898215,5.153,64.4820337243765,4.59437674883754
2011,4,8950.326998197115,892969104529.572,5.3560477898215,5.153,64.4820337243765,4.59437674883754
2012,1,8928.4376953125,917869913364.917,4.27949999641975,4.468,65.6380348610406,7.75018856489028
2012,2,9243.772325721155,917869913364.917,4.27949999641975,4.468,65.6380348610406,7.75018856489028
2012,3,9462.613852163462,917869913364.917,4.27949999641975,4.468,65.6380348610406,7.75018856489028
2012,4,9581.79463641827,917869913364.917,4.27949999641975,4.468,65.6380348610406,7.75018856489028
2013,1,9648.892974853516,912524136718.018,6.41251330156418,4.336,66.3471823213081,6.37493124212137
2013,2,9733.810817307693,912524136718.018,6.41251330156418,4.336,66.3471823213081,6.37493124212137
2013,3,10564.115929805872,912524136718.018,6.41251330156418,4.336,66.3471823213081,6.37493124212137
2013,4,11323.886177884615,912524136718.018,6.41251330156418,4.336,66.3471823213081,6.37493124212137
2014,1,11772.703125,890814755511.014,6.39492540819922,4.049,66.5641423046027,6.79211858069728
2014,2,11598.184615384615,890814755511.014,6.39492540819922,4.049,66.5641423046027,6.79211858069728
2014,3,11749.257575757576,890814755511.014,6.39492540819922,4.049,66.5641423046027,6.79211858069728
2014,4,12238.242424242424,890814755511.014,6.39492540819922,4.049,66.5641423046027,6.79211858069728
2015,1,12766.609375,860854232717.718,6.36312113115612,4.514,67.1994316673313,8.34991063469474
2015,2,13101.415384615384,860854232717.718,6.36312113115612,4.514,67.1994316673313,8.34991063469474
2015,3,13790.060606060606,860854232717.718,6.36312113115612,4.514,67.1994316673313,8.34991063469474
2015,4,13731.924242424242,860854232717.718,6.36312113115612,4.514,67.1994316673313,8.34991063469474
2016,1,13476.646153846154,931877364034.196,3.5258051568793,4.301,67.3546109042107,9.22443234413206
2016,2,13294.784615384615,931877364034.196,3.5258051568793,4.301,67.3546109042107,9.22443234413206
2016,3,13121.015151515152,931877364034.196,3.5258051568793,4.301,67.3546109042107,9.22443234413206
2016,4,13252.538461538461,931877364034.196,3.5258051568793,4.301,67.3546109042107,9.22443234413206
2017,1,13338.553846153845,1015618744168.08,3.80879806953157,3.783,66.3961441262257,6.50156399609036
2017,2,13301.415384615384,1015618744168.08,3.80879806953157,3.783,66.3961441262257,6.50156399609036
2017,3,13322.03125,1015618744168.08,3.80879806953157,3.783,66.3961441262257,6.50156399609036
2017,4,13527.0,1015618744168.08,3.80879806953157,3.783,66.3961441262257,6.50156399609036
2018,1,13568.015384615384,1042271532953.49,3.1983464156241,4.387,66.0011274364278,6.47124983937941
2018,2,13956.733834134615,1042271532953.49,3.1983464156241,4.387,66.0011274364278,6.47124983937941
2018,3,14598.935366586538,1042271532953.49,3.1983464156241,4.387,66.0011274364278,6.47124983937941
2018,4,14826.101503314394,1042271532953.49,3.1983464156241,4.387,66.0011274364278,6.47124983937941
2019,1,14144.242202758789,1119099871385.79,3.03058664969487,3.59,66.7389358667773,8.62940479031393
2019,2,14261.0078125,1119099871385.79,3.03058664969487,3.59,66.7389358667773,8.62940479031393
2019,3,14153.043915719696,1119099871385.79,3.03058664969487,3.59,66.7389358667773,8.62940479031393
2019,4,14049.996463660038,1119099871385.79,3.03058664969487,3.59,66.7389358667773,8.62940479031393
2020,1,14191.184450120192,1059054842711.55,1.9209680056685,4.255,68.5896428146991,9.98592671987597
2020,2,14951.934495192309,1059054842711.55,1.9209680056685,4.255,68.5896428146991,9.98592671987597
2020,3,14651.938831676136,1059054842711.55,1.9209680056685,4.255,68.5896428146991,9.98592671987597
2020,4,14334.161931818182,1059054842711.55,1.9209680056685,4.255,68.5896428146991,9.98592671987597
2021,1,14141.350479125977,1186509691070.97,1.56012990525673,3.827,64.8757548002977,2.7532239499583
2021,2,14421.073828125,1186509691070.97,1.56012990525673,3.827,64.8757548002977,2.7532239499583
2021,3,14406.49394827178,1186509691070.97,1.56012990525673,3.827,64.8757548002977,2.7532239499583
2021,4,14269.787908380682,1186509691070.97,1.56012990525673,3.827,64.8757548002977,2.7532239499583
2022,1,14345.292205810547,1319076267291.51,4.20946383402165,3.462,60.7294556699707,-0.955296610119879
2022,2,14547.480003004808,1319076267291.51,4.20946383402165,3.462,60.7294556699707,-0.955296610119879
2022,3,14924.025730942234,1319076267291.51,4.20946383402165,3.462,60.7294556699707,-0.955296610119879
